100m Medley,25m,1:08.08,403,19 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Medley,100
200m Medley,25m,2:20.46,475,18 Nov 2018,Ottawa,OYO Vorgee Iced Cap,Medley,200
400m Medley,25m,5:15.52,415,6 Feb 2016,Ottawa,Time Trials,Medley,400
50m Freestyle,25m,24.10,594,8 Dec 2018,Gatineau,Grand Prix,Freestyle,50
100m Freestyle,25m,53.10,606,16 Dec 2018,Toronto,Ontario Junior International,Freestyle,100
200m Freestyle,25m,1:59.05,581,8 Dec 2017,Gatineau,Grand Prix Gatineau,Freestyle,200
400m Freestyle,25m,4:19.30,548,1 Feb 2019,Nepean,Eastern Ontario Regional ...,Freestyle,400
800m Freestyle,25m,9:05.21,537,17 Nov 2018,Ottawa,OYO Vorgee Iced Cap,Freestyle,800
1500m Freestyle,25m,17:41.26,510,18 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Freestyle,1500
50m Butterfly,25m,25.11,654,15 Dec 2018,Toronto,Ontario Junior International,Butterfly,50
100m Butterfly,25m,55.51,649,14 Dec 2018,Toronto,Ontario Junior International,Butterfly,100
200m Butterfly,25m,2:08.18,607,3 Nov 2018,Toronto,NYAC Cup,Butterfly,200
50m Breaststroke,25m,34.94,377,18 Nov 2018,Ottawa,OYO Vorgee Iced Cap,Breaststroke,50
100m Breaststroke,25m,2:02.90,92,12 Jan 2013,Ottawa,Time Trials,Breaststroke,100
50m Backstroke,25m,27.37,535,14 Dec 2018,Toronto,Ontario Junior International,Backstroke,50
100m Backstroke,25m,1:02.16,486,3 Nov 2018,Toronto,NYAC Cup,Backstroke,100
200m Backstroke,25m,2:18.66,442,18 Nov 2018,Ottawa,OYO Vorgee Iced Cap,Backstroke,200
200m Medley,50m,3:06.89,226,28 Mar 2014,Gatineau,Coupe de la Capitale 2014 - 12 ans et ...,Medley,200
50m Freestyle,50m,25.52,550,1 Mar 2018,Etobicoke,Ontario Spring Provincial ...,Freestyle,50
100m Freestyle,50m,56.49,572,30 Jun 2018,Montreal,Coupe du Quebec (Senior et PARA) ...,Freestyle,100
200m Freestyle,50m,2:05.40,538,18 May 2018,Unionville,Hicken International,Freestyle,200
400m Freestyle,50m,4:28.63,549,1 Jun 2018,Nepean,Eastern Ontario Long Course ...,Freestyle,400
800m Freestyle,50m,9:44.48,462,19 Jan 2018,Nepean,NKB Winter Invitational,Freestyle,800
50m Butterfly,50m,25.88,651,1 Jun 2018,Nepean,Eastern Ontario Long Course ...,Butterfly,50
100m Butterfly,50m,57.65,645,3 Jun 2018,Nepean,Eastern Ontario Long Course ...,Butterfly,100
200m Butterfly,50m,2:10.23,627,2 Jun 2018,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Backstroke,50m,29.54,538,2 Jun 2018,Nepean,Eastern Ontario Long Course ...,Backstroke,50
100m Backstroke,50m,1:10.56,396,19 Mar 2016,Montreal,Invitation A-AA-AAA Centre Claude ...,Backstroke,100
200m Backstroke,50m,2:40.42,339,20 Mar 2016,Montreal,Invitation A-AA-AAA Centre Claude ...,Backstroke,200
