100m Medley,25m,1:36.97,199,25 Oct 2014,Nepean,SWOTT "Team October" Meet,Medley,100
200m Medley,25m,2:51.43,359,16 May 2016,Ottawa,Time Trials,Medley,200
50m Freestyle,25m,33.10,346,12 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,50
100m Freestyle,25m,1:10.74,374,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,100
200m Freestyle,25m,2:30.00,402,13 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,200
400m Freestyle,25m,5:20.06,393,12 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,400
800m Freestyle,25m,10:53.17,395,10 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,800
50m Butterfly,25m,44.03,169,18 Jan 2015,Ottawa,GO Kingfish Polar Plunge,Butterfly,50
100m Butterfly,25m,1:24.02,274,30 Jan 2016,Belleville,Eastern Ontario Short Course ...,Butterfly,100
100m Breaststroke,25m,1:49.42,185,11 Jan 2015,Perth,Mike Brown Invitational,Breaststroke,100
200m Breaststroke,25m,3:53.19,192,10 Jan 2015,Perth,Mike Brown Invitational,Breaststroke,200
100m Backstroke,25m,1:38.11,176,10 Jan 2015,Perth,Mike Brown Invitational,Backstroke,100
200m Backstroke,25m,3:01.75,282,7 Nov 2015,Ottawa,ROC Swimming Duel,Backstroke,200
200m Medley,50m,2:48.82,417,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Medley,200
400m Medley,50m,6:20.61,350,17 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Medley,400
50m Freestyle,50m,31.79,415,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,50
100m Freestyle,50m,1:10.07,410,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,100
200m Freestyle,50m,2:29.74,429,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,200
400m Freestyle,50m,5:13.20,440,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,400
800m Freestyle,50m,11:05.03,402,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,800
1500m Freestyle,50m,21:48.08,357,8 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Freestyle,1500
50m Butterfly,50m,36.81,292,10 Apr 2016,Nepean,OYO Long Course Invitational,Butterfly,50
100m Butterfly,50m,1:19.32,351,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Butterfly,100
50m Breaststroke,50m,49.83,207,26 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Breaststroke,50
100m Breaststroke,50m,1:38.97,274,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Breaststroke,100
200m Breaststroke,50m,3:26.94,303,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Breaststroke,200
50m Backstroke,50m,47.10,189,12 Apr 2015,Nepean,OYO Long Course Invitational,Backstroke,50
100m Backstroke,50m,1:28.75,280,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Backstroke,100
200m Backstroke,50m,3:01.41,319,10 Apr 2016,Nepean,OYO Long Course Invitational,Backstroke,200
