100m Medley,25m,1:36.10,205,25 Oct 2014,Nepean,SWOTT "Team October" Meet,Medley,100
200m Medley,25m,2:55.49,334,28 Nov 2015,Cornwall,CSL Snowflake Invitational,Medley,200
400m Medley,25m,6:43.64,266,24 Oct 2015,Ottawa,ROC Swimming In House Distance ...,Medley,400
50m Freestyle,25m,34.59,303,25 May 2015,Ottawa,Time Trials,Freestyle,50
100m Freestyle,25m,1:11.82,358,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,100
200m Freestyle,25m,2:29.75,404,7 Nov 2015,Ottawa,ROC Swimming Duel,Freestyle,200
400m Freestyle,25m,5:02.95,463,16 May 2016,Ottawa,Time Trials,Freestyle,400
800m Freestyle,25m,10:40.67,418,10 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,800
50m Butterfly,25m,40.69,215,22 Jun 2014,Brockville,Splash 'n Grill,Butterfly,50
100m Butterfly,25m,1:29.49,227,27 Nov 2015,Cornwall,CSL Snowflake Invitational,Butterfly,100
100m Breaststroke,25m,1:47.92,192,25 Oct 2014,Nepean,SWOTT "Team October" Meet,Breaststroke,100
50m Backstroke,25m,47.54,157,1 Dec 2013,Cornwall,Sea Lions Invitational Swim Meet,Backstroke,50
100m Backstroke,25m,1:27.20,251,17 Jan 2015,Ottawa,GO Kingfish Polar Plunge,Backstroke,100
200m Backstroke,25m,2:58.45,298,7 Nov 2015,Ottawa,ROC Swimming Duel,Backstroke,200
200m Medley,50m,2:58.30,354,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Medley,200
50m Freestyle,50m,33.62,351,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,50
100m Freestyle,50m,1:10.07,410,14 May 2016,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:25.03,472,13 May 2016,Nepean,Festival of Spring,Freestyle,200
400m Freestyle,50m,5:10.31,453,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,400
800m Freestyle,50m,10:55.39,420,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,800
1500m Freestyle,50m,21:05.52,394,15 May 2016,Nepean,Festival of Spring,Freestyle,1500
50m Butterfly,50m,37.69,272,10 Apr 2016,Nepean,OYO Long Course Invitational,Butterfly,50
100m Butterfly,50m,1:26.37,272,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Butterfly,100
50m Breaststroke,50m,46.90,248,10 Apr 2016,Nepean,OYO Long Course Invitational,Breaststroke,50
100m Breaststroke,50m,1:45.25,228,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Breaststroke,100
50m Backstroke,50m,41.11,285,10 Apr 2016,Nepean,OYO Long Course Invitational,Backstroke,50
100m Backstroke,50m,1:32.15,250,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Backstroke,100
