100m Medley,25m,1:09.81,374,18 Apr 2009,Miramichi,Mwc Easter Splash,Medley,100
200m Medley,25m,2:34.68,356,18 Apr 2009,Miramichi,Mwc Easter Splash,Medley,200
400m Medley,25m,5:43.17,323,19 Mar 2008,Moncton,Time Trials,Medley,400
50m Freestyle,25m,26.69,437,27 Feb 2009,Charlottetown,East Coast Short Course ...,Freestyle,50
100m Freestyle,25m,59.37,433,31 Jan 2009,Montcto,Nbscc,Freestyle,100
200m Freestyle,25m,2:09.56,451,28 Feb 2009,Charlottetown,East Coast Short Course ...,Freestyle,200
400m Freestyle,25m,4:38.83,441,27 Feb 2009,Charlottetown,East Coast Short Course ...,Freestyle,400
800m Freestyle,25m,10:06.72,390,2 May 2009,Fredericton,Marianne Limpert Championships,Freestyle,800
1500m Freestyle,25m,19:06.33,404,2 May 2009,Fredericton,Marianne Limpert Championships,Freestyle,1500
50m Butterfly,25m,31.87,320,30 Jan 2009,Montcto,Nbscc,Butterfly,50
50m Butterfly,25m,31.87,320,7 Dec 2008,Toronto,26th Annual Youth Cup,Butterfly,50
100m Butterfly,25m,1:15.56,257,29 Mar 2008,Oromocto,Development Meet D,Butterfly,100
200m Butterfly,25m,2:42.76,296,18 Apr 2009,Miramichi,Mwc Easter Splash,Butterfly,200
50m Breaststroke,25m,42.00,217,29 Mar 2008,Oromocto,Development Meet D,Breaststroke,50
100m Breaststroke,25m,1:36.88,189,20 Oct 2007,Saint John,TIDE Development Meet B,Breaststroke,100
200m Breaststroke,25m,3:00.85,295,20 Jun 2009,Moncton,Rencontre Derniere Chance Cnbo - ...,Breaststroke,200
50m Backstroke,25m,32.58,317,30 May 2009,Saint John,NB Spring Classic Invitational & ...,Backstroke,50
100m Backstroke,25m,1:11.50,320,27 Feb 2009,Charlottetown,East Coast Short Course ...,Backstroke,100
200m Backstroke,25m,2:33.48,325,31 May 2009,Saint John,NB Spring Classic Invitational & ...,Backstroke,200
50m Freestyle,50m,27.99,416,4 Jul 2008,Halifax,East Coast Championships,Freestyle,50
100m Freestyle,50m,1:00.98,455,5 Apr 2009,Sherbrooke,6e Invitation interprovinciale,Freestyle,100
200m Freestyle,50m,2:14.48,436,4 Apr 2009,Sherbrooke,6e Invitation interprovinciale,Freestyle,200
400m Freestyle,50m,4:53.12,423,5 Apr 2009,Sherbrooke,6e Invitation interprovinciale,Freestyle,400
800m Freestyle,50m,10:19.46,388,23 May 2008,Saint John,Team Aquatic Supplies Long Course ...,Freestyle,800
1500m Freestyle,50m,23:30.17,235,7 May 2006,Halifax,Spring Invitational,Freestyle,1500
50m Butterfly,50m,33.75,293,28 May 2010,Saint John,Spring Classic,Butterfly,50
100m Butterfly,50m,1:14.90,294,5 Apr 2009,Sherbrooke,6e Invitation interprovinciale,Butterfly,100
200m Butterfly,50m,2:55.18,257,2 Jul 2009,Saint John,East Coast Long Course ...,Butterfly,200
50m Backstroke,50m,33.57,367,3 Jul 2008,Halifax,East Coast Championships,Backstroke,50
100m Backstroke,50m,1:15.65,321,3 Jul 2008,Halifax,East Coast Championships,Backstroke,100
200m Backstroke,50m,2:50.55,282,6 Jul 2008,Halifax,East Coast Championships,Backstroke,200
