100m Medley,25m,1:35.78,144,11 Jun 2017,Brockville,Splash N Grill,Medley,100
200m Medley,25m,3:07.05,201,19 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Medley,200
50m Freestyle,25m,32.75,236,19 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Freestyle,50
100m Freestyle,25m,1:11.96,243,14 Oct 2017,Ottawa,Time Trials,Freestyle,100
200m Freestyle,25m,2:35.45,261,19 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Freestyle,200
400m Freestyle,25m,6:02.12,201,28 May 2017,Kingston,May Last Chance Qualifier,Freestyle,400
50m Butterfly,25m,59.77,48,10 Jan 2016,Perth,Mike Brown Invitational,Butterfly,50
100m Butterfly,25m,1:42.34,103,11 Jun 2017,Brockville,Splash N Grill,Butterfly,100
50m Breaststroke,25m,46.33,161,19 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Breaststroke,50
100m Breaststroke,25m,1:40.10,171,19 Nov 2017,Ottawa,OYO Vorgee Iced Cap,Breaststroke,100
200m Breaststroke,25m,3:52.10,139,15 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Breaststroke,200
50m Backstroke,25m,47.36,103,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Backstroke,50
100m Backstroke,25m,1:36.04,132,28 May 2017,Kingston,May Last Chance Qualifier,Backstroke,100
200m Backstroke,25m,3:24.71,137,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Backstroke,200
200m Medley,50m,3:17.57,192,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Medley,200
50m Freestyle,50m,36.34,190,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Freestyle,50
100m Freestyle,50m,1:16.82,227,23 Apr 2017,Ottawa,GO Kingfish April LC Invite,Freestyle,100
200m Freestyle,50m,2:46.91,228,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Freestyle,200
400m Freestyle,50m,6:06.48,216,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Freestyle,400
800m Freestyle,50m,12:12.03,235,31 Mar 2017,Nepean,Welcome to Long Course ...,Freestyle,800
50m Butterfly,50m,45.84,117,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Butterfly,50
50m Breaststroke,50m,52.37,128,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Breaststroke,50
100m Breaststroke,50m,1:52.11,132,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Breaststroke,100
200m Breaststroke,50m,4:03.39,142,24 Apr 2016,Ottawa,GO Kingfish April Long Course,Breaststroke,200
50m Backstroke,50m,44.57,156,8 Apr 2017,Ottawa,5th Annual "Go The Distance" Night & ...,Backstroke,50
100m Backstroke,50m,1:48.49,109,10 Apr 2016,Nepean,OYO Long Course Invitational,Backstroke,100
200m Backstroke,50m,3:26.52,159,22 Apr 2017,Ottawa,GO Kingfish April LC Invite,Backstroke,200
