100m Medley,25m,1:25.76,206,19 Jan 2014,Ottawa,GO Kingfish Polar Plunge,Medley,100
200m Medley,25m,2:45.85,288,17 Oct 2015,Nepean,NKB Short Course Fall Invitational,Medley,200
400m Medley,25m,6:09.98,257,24 Oct 2015,Ottawa,ROC Swimming In House Distance ...,Medley,400
50m Freestyle,25m,29.94,309,7 Nov 2015,Ottawa,ROC Swimming Duel,Freestyle,50
100m Freestyle,25m,1:06.20,312,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,100
200m Freestyle,25m,2:28.19,301,25 May 2015,Ottawa,Time Trials,Freestyle,200
400m Freestyle,25m,5:17.09,299,12 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,400
800m Freestyle,25m,11:23.25,273,24 Oct 2015,Ottawa,ROC Swimming In House Distance ...,Freestyle,800
50m Butterfly,25m,33.40,278,12 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Butterfly,50
100m Butterfly,25m,1:26.65,174,8 Nov 2014,Ottawa,Time Trials,Butterfly,100
50m Breaststroke,25m,41.95,218,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Breaststroke,50
100m Breaststroke,25m,1:32.62,216,18 Oct 2015,Nepean,NKB Short Course Fall Invitational,Breaststroke,100
200m Breaststroke,25m,3:36.08,173,13 Dec 2013,Gatineau,Invitation de Noel,Breaststroke,200
50m Backstroke,25m,40.76,162,26 Oct 2013,Nepean,Annual October Invitational,Backstroke,50
100m Backstroke,25m,1:14.98,278,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Backstroke,100
200m Backstroke,25m,2:46.68,257,18 Oct 2015,Nepean,NKB Short Course Fall Invitational,Backstroke,200
200m Medley,50m,2:52.13,290,26 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Medley,200
50m Freestyle,50m,30.68,316,6 Jun 2015,Nepean,Eastern Long Course Regional ...,Freestyle,50
100m Freestyle,50m,1:08.28,324,9 May 2015,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:38.10,268,25 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Freestyle,200
400m Freestyle,50m,5:49.40,249,10 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Freestyle,400
800m Freestyle,50m,12:06.48,241,10 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Freestyle,800
50m Butterfly,50m,42.18,150,13 Apr 2013,Ottawa,ROCS Long Course 2013 Pentathlon,Butterfly,50
100m Butterfly,50m,1:22.82,217,11 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Butterfly,100
50m Breaststroke,50m,48.75,163,13 Apr 2013,Ottawa,ROCS Long Course 2013 Pentathlon,Breaststroke,50
100m Breaststroke,50m,1:38.91,206,11 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Breaststroke,100
200m Breaststroke,50m,3:45.36,179,13 Apr 2014,Nepean,OYO Long Course Invitational,Breaststroke,200
50m Backstroke,50m,36.62,282,5 Jun 2015,Nepean,Eastern Long Course Regional ...,Backstroke,50
100m Backstroke,50m,1:19.36,280,26 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Backstroke,100
200m Backstroke,50m,2:52.79,271,9 May 2015,Nepean,Festival of Spring,Backstroke,200
