100m Medley,25m,1:36.66,143,25 Oct 2014,Nepean,SWOTT "Team October" Meet,Medley,100
200m Medley,25m,2:50.06,267,26 Nov 2016,Cornwall,CSL Snowflake Invitational,Medley,200
50m Freestyle,25m,37.81,153,13 Dec 2014,Ottawa,Time Trials,Freestyle,50
100m Freestyle,25m,1:10.86,255,15 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Freestyle,100
200m Freestyle,25m,2:33.56,270,5 Nov 2016,Ottawa,ROC Swimming Duel,Freestyle,200
400m Freestyle,25m,5:24.12,280,15 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Freestyle,400
800m Freestyle,25m,12:11.56,222,24 Oct 2015,Ottawa,ROC Swimming In House Distance ...,Freestyle,800
50m Butterfly,25m,35.00,241,5 Nov 2016,Ottawa,ROC Swimming Duel,Butterfly,50
100m Butterfly,25m,1:23.76,193,16 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Butterfly,100
50m Breaststroke,25m,39.94,252,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Breaststroke,50
100m Breaststroke,25m,1:26.74,263,16 May 2016,Ottawa,Time Trials,Breaststroke,100
200m Breaststroke,25m,3:08.41,261,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Breaststroke,200
50m Backstroke,25m,40.24,168,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Backstroke,50
100m Backstroke,25m,1:25.23,189,15 Oct 2016,Nepean,Kanata Barracudas Short Course ...,Backstroke,100
200m Backstroke,25m,2:57.69,210,25 Feb 2017,Kingston,KBM Heats and Finals SC Finale,Backstroke,200
200m Medley,50m,2:56.84,267,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Medley,200
400m Medley,50m,7:14.79,176,28 Mar 2015,Nepean,Welcome to Long Course,Medley,400
50m Freestyle,50m,32.78,259,13 May 2016,Nepean,Festival of Spring,Freestyle,50
100m Freestyle,50m,1:11.79,279,17 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Freestyle,100
200m Freestyle,50m,2:33.74,292,21 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Freestyle,200
400m Freestyle,50m,5:29.38,298,1 Apr 2016,Nepean,Welcome to Long Course ...,Freestyle,400
800m Freestyle,50m,11:27.86,283,8 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Freestyle,800
50m Butterfly,50m,56.53,62,12 Apr 2014,Ottawa,ROC Swimming Distance Night & LC ...,Butterfly,50
100m Butterfly,50m,1:28.88,176,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Butterfly,100
50m Breaststroke,50m,43.07,230,10 Apr 2016,Nepean,OYO Long Course Invitational,Breaststroke,50
100m Breaststroke,50m,1:29.40,271,22 Jan 2017,Ottawa,GO Kingfish Polar Bear Invite ...,Breaststroke,100
200m Breaststroke,50m,3:18.82,260,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Breaststroke,200
50m Backstroke,50m,54.05,87,11 May 2014,Ottawa,Capital Classic Qualifier,Backstroke,50
100m Backstroke,50m,1:29.00,198,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Backstroke,100
