100m Medley,25m,1:26.48,201,22 May 2011,Montreal,Championnats canadien des ...,Medley,100
400m Medley,25m,6:05.63,267,19 Feb 2012,Lasalle,Invitation Maitres,Medley,400
50m Freestyle Lap,25m,32.63,-,21 May 2011,Montreal,Championnats canadien des ...,Freestyle Lap,50
100m Freestyle Lap,25m,1:13.89,-,22 May 2011,Montreal,Championnats canadien des ...,Freestyle Lap,100
50m Freestyle,25m,31.88,256,21 Apr 2006,Montreal,25ie Champ. Prov. Des Maitres,Freestyle,50
100m Freestyle,25m,1:13.31,230,17 May 2008,Sainte-Foy,Master Canadian Championships,Freestyle,100
200m Freestyle,25m,2:36.21,257,22 May 2011,Montreal,Championnats canadien des ...,Freestyle,200
400m Freestyle,25m,5:31.93,261,21 May 2011,Montreal,Championnats canadien des ...,Freestyle,400
800m Freestyle,25m,11:27.70,268,20 May 2011,Montreal,Championnats canadien des ...,Freestyle,800
50m Butterfly Lap,25m,37.59,-,22 May 2011,Montreal,Championnats canadien des ...,Butterfly Lap,50
50m Butterfly,25m,39.69,165,22 Apr 2006,Montreal,25ie Champ. Prov. Des Maitres,Butterfly,50
50m Backstroke,25m,38.38,194,22 Apr 2006,Montreal,25ie Champ. Prov. Des Maitres,Backstroke,50
100m Backstroke,25m,1:21.49,216,17 May 2008,Sainte-Foy,Master Canadian Championships,Backstroke,100
200m Backstroke,25m,2:55.05,219,19 Feb 2012,Lasalle,Invitation Maitres,Backstroke,200
50m Freestyle Lap,50m,34.19,-,7 Aug 2014,Montreal,FINA: XV World Masters ...,Freestyle Lap,50
50m Butterfly Lap,50m,41.63,-,7 Aug 2014,Montreal,FINA: XV World Masters ...,Butterfly Lap,50
