100m Medley,25m,1:32.39,164,15 Dec 2013,Gatineau,Invitation de Noel - Developpement,Medley,100
200m Medley,25m,2:24.40,437,3 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Medley,200
400m Medley,25m,5:03.73,466,5 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Medley,400
50m Freestyle,25m,29.00,340,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,50
100m Freestyle,25m,1:06.81,304,19 Jun 2016,Etobicoke,Ontario Summer Festival,Freestyle,100
200m Freestyle,25m,2:21.04,349,13 Dec 2015,Gatineau,Grand Prix - AA-AAA,Freestyle,200
400m Freestyle,25m,4:34.16,464,3 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,400
800m Freestyle,25m,9:28.02,475,16 Jan 2017,Nepean,NKB In House Competition,Freestyle,800
1500m Freestyle,25m,17:59.40,484,5 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Freestyle,1500
50m Butterfly,25m,38.46,182,18 Jan 2015,Ottawa,GO Kingfish Polar Plunge,Butterfly,50
100m Butterfly,25m,1:10.06,330,3 Dec 2016,Montreal,Invitation provinciale Neptune 12 ...,Butterfly,100
50m Breaststroke,25m,52.12,113,14 Dec 2013,Gatineau,Invitation de Noel - Developpement,Breaststroke,50
100m Breaststroke,25m,1:17.53,369,13 Nov 2016,Brantford,Swim International,Breaststroke,100
200m Breaststroke,25m,2:40.92,419,4 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Breaststroke,200
50m Backstroke,25m,31.72,343,3 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Backstroke,50
100m Backstroke,25m,1:07.27,384,3 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Backstroke,100
200m Backstroke,25m,2:20.86,421,5 Feb 2017,Belleville,Eastern Ontario Regional SC ...,Backstroke,200
200m Medley,50m,2:24.97,486,2 Jun 2017,Nepean,Eastern Ontario Long Course ...,Medley,200
400m Medley,50m,4:58.78,543,30 Jun 2017,Toronto,Ontario Summer Provincial ...,Medley,400
50m Freestyle,50m,28.63,389,13 May 2017,Nepean,Festival of Spring,Freestyle,50
100m Freestyle,50m,1:07.38,337,2 Apr 2016,Nepean,Welcome to Long Course ...,Freestyle,100
200m Freestyle,50m,2:13.45,446,3 Jun 2017,Nepean,Eastern Ontario Long Course ...,Freestyle,200
400m Freestyle,50m,4:36.05,506,29 Jun 2017,Toronto,Ontario Summer Provincial ...,Freestyle,400
800m Freestyle,50m,9:15.84,538,29 Jun 2017,Toronto,Ontario Summer Provincial ...,Freestyle,800
1500m Freestyle,50m,17:32.59,566,1 Jul 2017,Toronto,Ontario Summer Provincial ...,Freestyle,1500
50m Butterfly,50m,34.87,266,12 Jun 2015,Montreal,GA Internationale XTRASLUSH,Butterfly,50
100m Butterfly,50m,1:11.28,341,1 Apr 2017,Nepean,Welcome to Long Course ...,Butterfly,100
200m Butterfly,50m,2:44.04,314,3 Apr 2016,Nepean,Welcome to Long Course ...,Butterfly,200
50m Breaststroke,50m,36.87,367,2 Apr 2017,Nepean,Welcome to Long Course ...,Breaststroke,50
100m Breaststroke,50m,1:15.57,450,13 May 2017,Nepean,Festival of Spring,Breaststroke,100
200m Breaststroke,50m,2:39.42,505,29 Jun 2017,Toronto,Ontario Summer Provincial ...,Breaststroke,200
50m Backstroke,50m,34.06,351,2 Apr 2016,Nepean,Welcome to Long Course ...,Backstroke,50
100m Backstroke,50m,1:06.33,480,2 Jul 2017,Toronto,Ontario Summer Provincial ...,Backstroke,100
200m Backstroke,50m,2:18.99,522,2 Jul 2017,Toronto,Ontario Summer Provincial ...,Backstroke,200
