100m Medley,25m,1:02.83,482,15 Jun 2019,Langley,Time Trials,Medley,100
200m Medley,25m,2:07.68,633,31 Jul 2021,Coquitlam,Hyack Year End Long Course Short ...,Medley,200
400m Medley,25m,4:15.09,779,24 Mar 2022,Quebec,Championnat Universitaire ...,Medley,400
50m Freestyle,25m,24.24,575,7 Dec 2019,Victoria,17th ANNUAL PCS XMAS CRACKER,Freestyle,50
100m Freestyle,25m,51.16,673,6 Nov 2021,Vancouver,Odlum Brown Colleges Cup,Freestyle,100
200m Freestyle,25m,1:50.09,735,7 Nov 2021,Vancouver,Odlum Brown Colleges Cup,Freestyle,200
400m Freestyle,25m,3:55.11,735,12 Feb 2022,Victoria,West Coast Collegiate,Freestyle,400
800m Freestyle,25m,8:12.55,729,26 Mar 2022,Quebec,Championnat Universitaire ...,Freestyle,800
1500m Freestyle,25m,15:28.41,759,26 Nov 2021,Edmonton,Canada West Championships,Freestyle,1500
50m Butterfly,25m,28.97,423,15 Jun 2019,Langley,Time Trials,Butterfly,50
100m Butterfly,25m,59.22,525,23 Oct 2021,Vancouver,VPSC Fall Invitational,Butterfly,100
200m Butterfly,25m,2:04.39,658,7 Dec 2019,Victoria,17th ANNUAL PCS XMAS CRACKER,Butterfly,200
50m Breaststroke,25m,34.96,363,15 Jun 2019,Langley,Time Trials,Breaststroke,50
100m Breaststroke,25m,1:18.51,349,10 Jun 2017,Langley,Time Trials,Breaststroke,100
200m Breaststroke,25m,2:31.92,494,2 Nov 2019,Langley,LOSC 13th Annual Short Course ...,Breaststroke,200
50m Backstroke,25m,26.83,568,23 Oct 2021,Vancouver,VPSC Fall Invitational,Backstroke,50
100m Backstroke,25m,52.94,760,25 Mar 2022,Quebec,Championnat Universitaire ...,Backstroke,100
200m Backstroke,25m,1:54.60,783,6 Nov 2022,Vancouver,Odlum Brown Colleges Cup,Backstroke,200
200m Medley,50m,2:08.95,690,10 Aug 2019,Winnipeg,Canadian Swimming Championships,Medley,200
400m Medley,50m,4:24.89,780,24 Feb 2023,Victoria,USPORTS Swimming Championships,Medley,400
50m Freestyle,50m,24.70,606,1 Aug 2021,Coquitlam,Hyack Year End Long Course Short ...,Freestyle,50
100m Freestyle,50m,53.25,683,6 Mar 2020,Victoria,Winter Provincial Championships,Freestyle,100
200m Freestyle,50m,1:55.37,691,22 Jan 2022,Vancouver,Covid Cup,Freestyle,200
400m Freestyle,50m,3:59.80,772,25 Jul 2022,Montreal,Canadian Junior & Senior ...,Freestyle,400
800m Freestyle,50m,8:16.29,756,10 Jul 2022,Irvine (USA),CA Southern California I,Freestyle,800
1500m Freestyle,50m,15:47.89,775,21 Jun 2021,Toronto,Olympic Swimming Trials,Freestyle,1500
50m Butterfly,50m,27.01,560,17 Jul 2021,Langley,Time Trials,Butterfly,50
100m Butterfly,50m,59.14,584,31 Jul 2021,Coquitlam,Hyack Year End Long Course Short ...,Butterfly,100
200m Butterfly,50m,2:07.86,649,18 Jan 2020,Vancouver,UBC Senior Circuit,Butterfly,200
50m Breaststroke,50m,36.94,346,22 Jun 2019,Coquitlam,Summer Solstice One Day ...,Breaststroke,50
100m Breaststroke,50m,1:17.64,393,15 Feb 2020,Langley,LOSC LC Invitational,Breaststroke,100
200m Breaststroke,50m,2:40.96,481,18 Jan 2020,Vancouver,UBC Senior Circuit,Breaststroke,200
50m Backstroke,50m,27.39,656,17 Jul 2021,Langley,Time Trials,Backstroke,50
100m Backstroke,50m,55.68,807,23 Feb 2023,Victoria,USPORTS Swimming Championships,Backstroke,100
200m Backstroke,50m,1:58.07,851,1 Apr 2023,Toronto,Canadian Trials,Backstroke,200
