100m Medley,25m,1:16.78,402,24 May 2015,Kingston,May Wind-up Qualifier,Medley,100
200m Medley,25m,2:37.57,462,29 Jan 2016,Belleville,Eastern Ontario Short Course ...,Medley,200
400m Medley,25m,5:35.52,464,30 Jan 2016,Belleville,Eastern Ontario Short Course ...,Medley,400
50m Freestyle,25m,31.55,399,7 Nov 2015,Ottawa,ROC Swimming Duel,Freestyle,50
100m Freestyle,25m,1:05.12,480,11 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Freestyle,100
200m Freestyle,25m,2:30.18,401,21 Feb 2015,Etobicoke,Ontario Winter Festival,Freestyle,200
400m Freestyle,25m,4:48.63,536,12 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Freestyle,400
800m Freestyle,25m,9:49.72,537,10 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Freestyle,800
50m Butterfly,25m,43.11,180,1 Dec 2013,Cornwall,Sea Lions Invitational Swim Meet,Butterfly,50
100m Butterfly,25m,1:42.83,149,18 Jan 2014,Ottawa,GO Kingfish Polar Plunge,Butterfly,100
50m Breaststroke,25m,36.14,506,11 Dec 2015,Pointe-Claire,Invitation Provinciale AAA ...,Breaststroke,50
100m Breaststroke,25m,1:19.24,487,30 Jan 2016,Belleville,Eastern Ontario Short Course ...,Breaststroke,100
200m Breaststroke,25m,2:48.80,506,31 Jan 2016,Belleville,Eastern Ontario Short Course ...,Breaststroke,200
50m Backstroke,25m,38.52,295,1 Feb 2014,Belleville,EOSA SC Regional Championship,Backstroke,50
100m Backstroke,25m,1:18.36,346,28 Nov 2014,Cornwall,CSL Snowflake Invitational,Backstroke,100
200m Backstroke,25m,2:45.53,373,18 Oct 2015,Nepean,NKB Short Course Fall Invitational,Backstroke,200
200m Medley,50m,2:44.27,452,9 May 2015,Nepean,Festival of Spring,Medley,200
50m Freestyle,50m,33.20,365,25 Apr 2015,Ottawa,GO Kingfish April Long Course Meet,Freestyle,50
100m Freestyle,50m,1:06.31,484,14 May 2016,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:20.73,517,13 May 2016,Nepean,Festival of Spring,Freestyle,200
400m Freestyle,50m,4:46.22,577,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,400
800m Freestyle,50m,9:47.18,584,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Freestyle,800
1500m Freestyle,50m,20:05.22,457,10 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Freestyle,1500
50m Butterfly,50m,45.22,157,12 Apr 2014,Ottawa,ROC Swimming Distance Night & LC ...,Butterfly,50
100m Butterfly,50m,1:25.38,281,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Butterfly,100
200m Butterfly,50m,3:07.14,275,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Butterfly,200
50m Breaststroke,50m,38.00,466,10 Apr 2016,Nepean,OYO Long Course Invitational,Breaststroke,50
100m Breaststroke,50m,1:20.06,519,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Breaststroke,100
200m Breaststroke,50m,2:50.63,541,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Breaststroke,200
50m Backstroke,50m,38.48,347,7 Jun 2014,Nepean,EOSA Long Course Regional ...,Backstroke,50
100m Backstroke,50m,1:19.97,383,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Backstroke,100
200m Backstroke,50m,2:38.80,476,4 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,200
