200m Medley,25m,2:58.70,230,26 Nov 2016,Cornwall,CSL Snowflake Invitational,Medley,200
400m Medley,25m,6:43.83,198,12 Dec 2014,Pointe-Claire,Invitation Provinciale AA ...,Medley,400
50m Freestyle,25m,31.12,275,10 Dec 2016,Gatineau,Grand Prix Gatineau,Freestyle,50
100m Freestyle,25m,1:10.14,263,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,100
200m Freestyle,25m,2:36.31,256,5 Nov 2016,Ottawa,ROC Swimming Duel,Freestyle,200
400m Freestyle,25m,5:26.88,273,24 May 2015,Kingston,May Wind-up Qualifier,Freestyle,400
800m Freestyle,25m,11:15.78,282,10 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,800
1500m Freestyle,25m,21:25.58,287,10 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Freestyle,1500
50m Butterfly,25m,35.19,237,9 Dec 2016,Gatineau,Grand Prix Gatineau,Butterfly,50
100m Butterfly,25m,1:24.18,190,25 Nov 2016,Cornwall,CSL Snowflake Invitational,Butterfly,100
200m Butterfly,25m,3:14.63,173,24 May 2015,Kingston,May Wind-up Qualifier,Butterfly,200
50m Breaststroke,25m,47.21,152,28 Nov 2014,Cornwall,CSL Snowflake Invitational,Breaststroke,50
100m Breaststroke,25m,1:44.93,148,19 Oct 2014,Nepean,Fall Invitational (SC),Breaststroke,100
200m Breaststroke,25m,3:48.65,146,18 Oct 2014,Nepean,Fall Invitational (SC),Breaststroke,200
50m Backstroke,25m,36.02,234,26 Nov 2016,Cornwall,CSL Snowflake Invitational,Backstroke,50
100m Backstroke,25m,1:16.79,258,11 Dec 2015,Pointe-Claire,Invitation Provinciale AA ...,Backstroke,100
200m Backstroke,25m,2:47.70,249,26 Nov 2016,Cornwall,CSL Snowflake Invitational,Backstroke,200
200m Medley,50m,2:57.95,262,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Medley,200
50m Freestyle,50m,33.10,252,1 Apr 2017,Nepean,Welcome to Long Course ...,Freestyle,50
100m Freestyle,50m,1:10.90,289,14 May 2016,Nepean,Festival of Spring,Freestyle,100
200m Freestyle,50m,2:43.32,243,8 May 2015,Nepean,Festival of Spring,Freestyle,200
400m Freestyle,50m,5:36.56,279,27 Mar 2015,Nepean,Welcome to Long Course,Freestyle,400
800m Freestyle,50m,11:32.47,278,1 Apr 2016,Nepean,Welcome to Long Course ...,Freestyle,800
1500m Freestyle,50m,21:56.49,289,10 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Freestyle,1500
50m Butterfly,50m,36.56,230,11 Apr 2015,Ottawa,3rd Annual Go The Distance and Long ...,Butterfly,50
100m Butterfly,50m,1:26.82,188,16 Jan 2016,Ottawa,GO Kingfish Polar Bear Invite,Butterfly,100
200m Butterfly,50m,3:20.77,171,7 Jun 2015,Nepean,Eastern Long Course Regional ...,Butterfly,200
50m Breaststroke,50m,46.57,182,10 Apr 2016,Nepean,OYO Long Course Invitational,Breaststroke,50
100m Breaststroke,50m,1:47.07,158,9 Apr 2016,Ottawa,4th Annual "Go The Distance" Night & ...,Breaststroke,100
50m Backstroke,50m,37.66,260,3 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,50
100m Backstroke,50m,1:21.05,263,13 May 2016,Nepean,Festival of Spring,Backstroke,100
200m Backstroke,50m,2:51.09,279,5 Jun 2016,Nepean,Eastern Ontario Long Course ...,Backstroke,200
