100m Medley,25m,1:13.29,458,23 Oct 2022,Nepean,NKB SC Fall Invitational,Medley,100
200m Medley,25m,2:39.00,450,11 Dec 2022,Pointe-Claire,Invitation Pointe-Claire ...,Medley,200
400m Medley,25m,5:40.40,440,21 Jan 2023,Ottawa,GO Polar Plunge,Medley,400
50m Freestyle,25m,28.67,511,4 Feb 2023,Belleville,Eastern Regionals Short Course ...,Freestyle,50
100m Freestyle,25m,1:01.92,534,5 Feb 2023,Belleville,Eastern Regionals Short Course ...,Freestyle,100
200m Freestyle,25m,2:16.95,522,4 Feb 2023,Belleville,Eastern Regionals Short Course ...,Freestyle,200
400m Freestyle,25m,4:59.25,477,3 Feb 2023,Belleville,Eastern Regionals Short Course ...,Freestyle,400
1500m Freestyle,25m,19:13.48,504,25 Mar 2023,Ottawa,Time Trials,Freestyle,1500
50m Butterfly,25m,33.62,381,23 Apr 2022,Ottawa,Time Trials,Butterfly,50
100m Butterfly,25m,1:15.77,373,23 Oct 2022,Nepean,NKB SC Fall Invitational,Butterfly,100
50m Breaststroke,25m,40.61,347,17 Dec 2021,Pointe-Claire,Invitation decembre ...,Breaststroke,50
100m Breaststroke,25m,1:21.56,446,21 Jan 2023,Ottawa,GO Polar Plunge,Breaststroke,100
200m Breaststroke,25m,2:55.22,452,11 Feb 2023,Ottawa,Time Trials,Breaststroke,200
50m Backstroke,25m,37.43,307,5 Nov 2022,Ottawa,Time Trials,Backstroke,50
100m Backstroke,25m,1:12.70,430,25 Mar 2023,Ottawa,Time Trials,Backstroke,100
200m Backstroke,25m,2:41.50,399,11 Feb 2023,Ottawa,Time Trials,Backstroke,200
200m Medley,50m,2:43.02,463,2 Apr 2023,Nepean,OYO Long Course Invitational,Medley,200
400m Medley,50m,6:11.88,367,15 May 2022,Nepean,NKB Festival of Spring,Medley,400
50m Freestyle,50m,28.86,551,15 Apr 2023,Nepean,NKB Cup,Freestyle,50
100m Freestyle,50m,1:03.69,535,11 Jul 2023,Halifax,Ken Dunn East Coast Championships,Freestyle,100
200m Freestyle,50m,2:21.40,510,17 Feb 2023,Etobicoke,Winter Ontario Youth-Junior ...,Freestyle,200
400m Freestyle,50m,5:05.81,462,10 Jul 2023,Halifax,Ken Dunn East Coast Championships,Freestyle,400
800m Freestyle,50m,10:42.65,429,12 May 2023,Ottawa,ROC Swimming 8th Annual Go the ...,Freestyle,800
1500m Freestyle,50m,20:09.47,440,14 Apr 2023,Nepean,NKB Cup,Freestyle,1500
50m Butterfly,50m,42.59,188,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Butterfly,50
100m Butterfly,50m,1:18.67,350,13 May 2023,Ottawa,ROC Swimming 8th Annual Go the ...,Butterfly,100
50m Breaststroke,50m,37.64,471,10 Jul 2023,Halifax,Ken Dunn East Coast Championships,Breaststroke,50
100m Breaststroke,50m,1:26.81,403,11 Dec 2022,Pointe-Claire,Invitation Pointe-Claire ...,Breaststroke,100
200m Breaststroke,50m,3:09.29,395,8 Jul 2023,Halifax,Ken Dunn East Coast Championships,Breaststroke,200
50m Backstroke,50m,44.19,227,7 Apr 2019,Ottawa,ROCS Distance and Long Course ...,Backstroke,50
100m Backstroke,50m,1:15.95,432,2 Apr 2023,Nepean,OYO Long Course Invitational,Backstroke,100
200m Backstroke,50m,3:19.71,235,12 May 2019,Nepean,Festival of Spring,Backstroke,200
