Young Age,15
Old Age,24

Event,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24
50 Free,,,,,,,,,,,00:23.18,00:23.18,00:23.18,00:23.18,00:22.84,00:22.55,00:22.30,00:22.10,,,,,,,,,,,,,3,2,1,0,0,0,0,0,0,0
200 Free,,,,,,,,,,,01:53.74,01:51.68,01:49.90,01:48.40,01:47.15,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Free,,,,,,,,,,,00:51.72,00:51.72,00:50.74,00:49.89,00:49.17,00:48.58,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
400 Free,,,,,,,,,,,04:02.71,03:57.78,03:53.62,03:50.20,03:47.43,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
1500 Free,,,,,,,,,,,16:08.22,15:46.64,15:28.56,15:13.79,15:01.97,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Back,,,,,,,,,,,00:57.59,00:57.59,00:56.44,00:55.46,00:54.65,00:53.99,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
200 Back,,,,,,,,,,,02:05.27,02:02.84,02:00.76,01:59.01,01:57.58,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Breast,,,,,,,,,,,01:04.38,01:04.38,01:04.38,01:03.02,01:01.90,01:00.98,01:00.26,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0
200 Breast,,,,,,,,,,,02:23.80,02:19.78,02:16.39,02:13.57,02:11.26,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
200 IM,,,,,,,,,,,02:06.77,02:06.77,02:04.47,02:02.56,02:01.00,01:59.77,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
400 IM,,,,,,,,,,,04:38.64,04:31.64,04:25.91,04:21.36,04:17.88,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Fly,,,,,,,,,,,00:56.19,00:56.19,00:54.87,00:53.75,00:52.83,00:52.08,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
200 Fly,,,,,,,,,,,02:05.10,02:05.10,02:02.17,01:59.84,01:58.04,01:56.72,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
