Young Age,15
Old Age,24

Event,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24,15,16,17,18,19,20,21,22,23,24
50 Free,,,,,,,,,,,00:23.35,00:23.35,00:23.35,00:23.35,00:23.00,00:22.71,00:22.46,00:22.26,00:22.10,,,,,,,,,,,,3,2,1,0,0,0,0,0,0,0
200 Free,,,,,,,,,,,01:54.82,01:52.75,01:50.95,01:49.43,01:48.17,01:47.15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Free,,,,,,,,,,,00:52.24,00:52.24,00:51.25,00:50.39,00:49.67,00:49.07,00:48.58,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
400 Free,,,,,,,,,,,04:05.02,04:00.04,03:55.85,03:52.40,03:49.60,03:47.43,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
1500 Free,,,,,,,,,,,16:18.01,15:56.22,15:37.95,15:23.03,15:11.09,15:01.97,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Back,,,,,,,,,,,00:58.16,00:58.16,00:57.00,00:56.01,00:55.19,00:54.52,00:53.99,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
200 Back,,,,,,,,,,,02:06.50,02:04.04,02:01.94,02:00.18,01:58.73,01:57.58,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Breast,,,,,,,,,,,01:04.96,01:04.96,01:04.96,01:03.59,01:02.46,01:01.53,01:00.80,01:00.26,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0
200 Breast,,,,,,,,,,,02:25.83,02:21.75,02:18.31,02:15.45,02:13.11,02:11.26,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
200 IM,,,,,,,,,,,02:07.76,02:07.76,02:05.44,02:03.52,02:01.94,02:00.70,01:59.77,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
400 IM,,,,,,,,,,,04:41.37,04:34.30,04:28.51,04:23.93,04:20.41,04:17.88,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
100 Fly,,,,,,,,,,,00:56.83,00:56.83,00:55.50,00:54.37,00:53.44,00:52.68,00:52.08,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
200 Fly,,,,,,,,,,,02:06.02,02:06.02,02:03.07,02:00.72,01:58.91,01:57.58,01:56.72,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
