Young Age,18,
Old Age,18,
,,
Event,18,18
50 Free,00:23.15,00:23.84
100 Free,00:50.53,00:52.05
200 Free,01:50.57,01:53.89
400 Free,03:56.18,04:03.27
800 Free,,
1500 Free,15:54.08,16:22.70
50 Back,00:25.89,00:26.67
100 Back,00:55.77,00:57.44
200 Back,02:01.84,02:05.50
50 Breast,00:28.98,00:29.85
100 Breast,01:03.02,01:04.91
200 Breast,02:17.96,02:22.10
50 Fly,00:24.96,00:25.71
100 Fly,00:55.20,00:56.86
200 Fly,02:03.95,02:06.64
100 IM,,
200 IM,02:04.29,02:08.02
400 IM,04:26.12,04:34.10
