Young Age,13
Old Age,23

Event,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23
50 Free,,,,,,,,,,,,00:25.85,00:25.85,00:25.85,00:25.85,00:25.85,00:25.59,00:25.36,00:25.15,00:24.97,00:24.82,,,,,,,,,,,,,4,3,2,1,0,0,0,0,0,0,0
200 Free,,,,,,,,,,,,02:05.99,02:05.99,02:03.72,02:01.78,02:00.15,01:58.81,01:57.74,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
800 Free,,,,,,,,,,,,09:12.09,09:01.09,08:51.87,08:44.37,08:38.34,08:33.73,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Free,,,,,,,,,,,,00:57.61,00:57.61,00:57.61,00:56.76,00:56.03,00:55.42,00:54.91,00:54.50,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0
400 Free,,,,,,,,,,,,04:23.51,04:23.51,04:19.28,04:15.69,04:12.69,04:10.24,04:08.34,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
100 Back,,,,,,,,,,,,01:05.08,01:05.08,01:03.97,01:03.01,01:02.18,01:01.48,01:00.89,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 Back,,,,,,,,,,,,02:22.38,02:19.15,02:16.40,02:14.09,02:12.19,02:10.68,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Breast,,,,,,,,,,,,01:12.10,01:12.10,01:10.84,01:09.72,01:08.76,01:07.92,01:07.22,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 Breast,,,,,,,,,,,,02:36.80,02:36.80,02:34.12,02:31.77,02:29.74,02:28.02,02:26.58,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 IM,,,,,,,,,,,,02:21.99,02:21.99,02:19.50,02:17.39,02:15.61,02:14.16,02:13.01,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
400 IM,,,,,,,,,,,,05:01.40,04:55.34,04:50.11,04:45.67,04:41.95,04:38.91,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Fly,,,,,,,,,,,,01:01.81,01:01.81,01:01.81,01:00.80,00:59.94,00:59.22,00:58.62,00:58.15,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0
200 Fly,,,,,,,,,,,,02:18.97,02:18.97,02:16.18,02:13.84,02:11.91,02:10.38,02:09.21,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
