Young Age,19
Old Age,19

Event,19,19,19,19
50 Free,,00:23.95,,0
100 Free,,00:51.79,,0
200 Free,,01:53.63,,0
400 Free,,04:03.10,,0
800 Free,,08:45.60,,0
1500 Free,,16:23.72,,0
50 Back,,00:27.80,,0
100 Back,,00:58.88,,0
200 Back,,02:08.60,,0
50 Breast,,00:30.15,,0
100 Breast,,01:05.49,,0
200 Breast,,02:22.49,,0
50 Fly,,00:25.75,,0
100 Fly,,00:56.33,,0
200 Fly,,02:06.55,,0
100 IM
200 IM,,02:09.02,,0
400 IM,,04:37.96,,0
