Young Age,13
Old Age,23

Event,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23,13,14,15,16,17,18,19,20,21,22,23
50 Free,,,,,,,,,,,,00:25.69,00:25.69,00:25.69,00:25.69,00:25.69,00:25.43,00:25.20,00:25.00,00:24.82,,,,,,,,,,,,,,4,3,2,1,0,0,0,0,0,0,0
200 Free,,,,,,,,,,,,02:04.86,02:04.86,02:02.61,02:00.69,01:59.07,01:57.74,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
800 Free,,,,,,,,,,,,09:07.18,08:56.28,08:47.15,08:39.71,08:33.73,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Free,,,,,,,,,,,,00:57.18,00:57.18,00:57.18,00:56.34,00:55.62,00:55.01,00:54.50,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0
400 Free,,,,,,,,,,,,04:21.51,04:21.51,04:17.31,04:13.75,04:10.76,04:08.34,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
100 Back,,,,,,,,,,,,01:04.46,01:04.46,01:03.36,01:02.41,01:01.59,01:00.89,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 Back,,,,,,,,,,,,02:20.75,02:17.55,02:14.83,02:12.56,02:10.68,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Breast,,,,,,,,,,,,01:11.35,01:11.35,01:10.10,01:09.00,01:08.04,01:07.22,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 Breast,,,,,,,,,,,,02:35.28,02:35.28,02:32.62,02:30.29,02:28.29,02:26.58,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
200 IM,,,,,,,,,,,,02:20.78,02:20.78,02:18.31,02:16.21,02:14.45,02:13.01,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
400 IM,,,,,,,,,,,,04:58.15,04:52.16,04:46.98,04:42.59,04:38.91,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
100 Fly,,,,,,,,,,,,01:01.32,01:01.32,01:01.32,01:00.31,00:59.46,00:58.74,00:58.15,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,0,0,0,0
200 Fly,,,,,,,,,,,,02:17.72,02:17.72,02:14.96,02:12.64,02:10.73,02:09.21,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0
